Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Current_Year,Car_Age,Depreciation_Rate
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,2025,11,20.36363636363636
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,2025,12,39.916666666666664
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,2025,8,32.49999999999999
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,2025,14,9.285714285714288
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,2025,11,20.63636363636364
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,2025,7,8.285714285714286
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,2025,10,13.699999999999992
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,2025,10,21.099999999999994
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,2025,9,1.555555555555562
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,2025,10,14.699999999999996
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,2025,8,9.375
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,2025,10,35.30000000000001
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,2025,10,24.399999999999995
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,2025,10,16.1
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,2025,16,31.0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,2025,9,33.777777777777764
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,2025,10,35.39999999999999
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,2025,9,33.777777777777764
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,2025,10,18.4
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,2025,15,35.53333333333333
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,2025,9,12.222222222222223
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,2025,8,10.124999999999995
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,2025,14,25.785714285714285
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,2025,11,8.727272727272727
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,2025,12,12.583333333333336
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,2025,14,14.214285714285715
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,2025,12,14.333333333333332
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,2025,8,6.125000000000003
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,2025,15,13.333333333333334
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,2025,10,29.300000000000004
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,2025,13,22.153846153846157
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,2025,14,18.142857142857142
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,2025,11,23.090909090909093
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,2025,11,35.9090909090909
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,2025,11,23.272727272727277
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,2025,14,34.214285714285715
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,2025,10,25.5
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,2025,22,8.772727272727272
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,2025,9,8.444444444444441
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,2025,22,26.04545454545455
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,2025,9,22.44444444444445
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,2025,11,13.0
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,2025,17,30.58823529411765
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,2025,11,23.272727272727277
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,2025,13,11.076923076923077
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,2025,11,41.272727272727266
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,2025,12,18.666666666666664
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,2025,19,16.315789473684212
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,2025,10,19.1
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,2025,8,19.24999999999999
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,2025,13,120.84615384615385
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,2025,10,76.1
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,2025,8,22.124999999999993
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,2025,12,121.75
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,2025,20,37.300000000000004
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,2025,16,71.5
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,2025,10,27.699999999999996
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,2025,15,91.93333333333332
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,2025,11,24.545454545454547
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,2025,11,145.18181818181822
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,2025,12,97.16666666666667
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,2025,10,32.0
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,2025,11,156.45454545454547
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,2025,10,124.6
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,2025,8,40.37499999999996
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,2025,11,20.0
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,2025,8,42.499999999999986
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,2025,15,74.66666666666666
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,2025,14,67.07142857142857
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,2025,9,74.0
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,2025,11,25.545454545454543
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,2025,14,57.00000000000001
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,2025,12,93.0
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,2025,14,21.857142857142858
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,2025,11,36.636363636363626
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,2025,10,28.499999999999996
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,2025,12,76.5
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,2025,21,51.66666666666666
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,2025,15,117.19999999999999
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,2025,13,123.92307692307692
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,2025,9,1.7777777777777795
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,2025,10,30.999999999999993
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,2025,8,29.875000000000007
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,2025,10,9.600000000000009
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,2025,20,49.85000000000001
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,2025,19,111.73684210526315
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,2025,15,383.99999999999994
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,2025,13,60.30769230769231
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,2025,12,21.666666666666664
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,2025,11,18.27272727272727
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,2025,16,92.56249999999999
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,2025,11,44.0
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,2025,20,50.949999999999996
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,2025,10,76.1
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,2025,17,110.47058823529412
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,2025,13,98.15384615384615
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,2025,9,51.555555555555564
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,2025,8,20.500000000000007
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,2025,12,96.33333333333333
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,2025,15,72.0
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,2025,9,1.6666666666666656
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,2025,8,1.5000000000000013
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,2025,8,1.6250000000000013
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,2025,8,1.8750000000000018
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,2025,8,1.4999999999999987
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,2025,10,10.200000000000001
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,2025,11,19.090909090909093
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,2025,12,2.083333333333333
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,2025,9,3.333333333333334
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,2025,8,3.375
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,2025,9,6.4444444444444455
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,2025,9,3.8888888888888897
KTM 390 Duke,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,2025,11,11.363636363636363
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,2025,9,2.7777777777777777
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,2025,10,3.2000000000000006
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,2025,10,3.599999999999999
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,2025,12,3.083333333333332
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,2025,10,7.999999999999999
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,2025,10,3.6999999999999993
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,2025,12,7.083333333333332
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,2025,9,2.333333333333333
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,2025,14,3.214285714285714
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,2025,9,1.333333333333332
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,2025,12,3.916666666666666
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,2025,13,6.153846153846154
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,2025,16,5.3125
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,2025,8,0.6249999999999991
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,2025,9,0.555555555555556
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,2025,8,0.8749999999999993
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,2025,8,0.7499999999999993
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,2025,8,1.5
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,2025,10,0.6999999999999995
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,2025,8,2.4999999999999996
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,2025,9,2.5555555555555554
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,2025,8,2.0000000000000004
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,2025,10,0.8999999999999998
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,2025,11,5.0
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,2025,12,1.1416666666666666
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,2025,9,3.0000000000000004
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,2025,10,3.4999999999999996
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,2025,12,5.0
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,2025,9,2.222222222222223
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,2025,10,2.4
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,2025,9,2.6666666666666665
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,2025,11,3.5454545454545454
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,2025,13,1.615384615384616
